source,target,distance,altitude_diff
Arniko Highway,Bahrabise - Karthali - Dolangsa Road,2377.6076696556725,2485
Arniko Highway,Araniko Rajmarg,132.16905228293618,58
Arniko Highway,NH34,866.572608112694,1290
Bahrabise - Karthali - Dolangsa Road,Bahrabise - Budepa Road,866.7373761366235,2288
Bahrabise - Karthali - Dolangsa Road,Chyanarsa,2053.0262179818824,1409
Bahrabise - Karthali - Dolangsa Road,Bigu - Choitang - Gaglate Road,215.82499615166716,1296
Bahrabise - Karthali - Dolangsa Road,Barhabise-01,385.3614907526299,176
Bahrabise - Karthali - Dolangsa Road,Pokhare,653.6782747695044,197
Bahrabise - Karthali - Dolangsa Road,Bhotekoshi-04,365.1696375166301,464
Bahrabise - Budepa Road,Bahrabise - Budepa - Ghorthali Road,1720.9857026715692,158
Bahrabise - Budepa - Ghorthali Road,Chyanarsa,1758.272352381164,721
Bigu - Choitang - Gaglate Road,Singati-Bigu Road,1427.3206550894306,1069
Singati-Bigu Road,Chilankha-Syakhu-Alampu-Bigu Road,672.2604798314884,626
Singati-Bigu Road,Singati - Laduk Road,1151.9745822515554,971
Singati-Bigu Road,Charikot-Lamabagar Road,666.5775407361492,244
Chilankha-Syakhu-Alampu-Bigu Road,Shree kaileshwori PRA V,297.1535989879013,245
Chilankha-Syakhu-Alampu-Bigu Road,Shree Chirkun Than Namuna PRA V,745.2656999688045,26
Shri Choing Choling Gumba,Bamboo Bhatti,1189.9395814208108,1093
Shri Choing Choling Gumba,NH28,98.91904413619099,345
Bamboo Bhatti,Surmuche Hotel,1762.6552967765685,31
Surmuche Hotel,Kyalche,1913.9202770216893,477
Kyalche,Dongang,1438.279085947359,51
Dongang,Lodge,2186.9376307873295,214
Lodge,Sumda Mahades Hindu shrine,950.339086257298,189
Sumda Mahades Hindu shrine,Ramding,1847.1137906655954,66
Ramding,रोल्वालिङ साङ्ग क्ष्योलिङ गुम्बा,1182.8090927186688,92
रोल्वालिङ साङ्ग क्ष्योलिङ गुम्बा,"historic Beding Gompa, Guru Rinpche cave ",788.9531448730784,250
"historic Beding Gompa, Guru Rinpche cave ",Beding,1167.8090252602326,168
Beding,Gaurishankar-09,1428.654429838826,1388
Gaurishankar-09,Josef Phurba Lodge,1965.9722866224658,922
Josef Phurba Lodge,Na,1862.378011672589,44
Na,Chukyima,735.5919276342322,611
Na,Yalung Ri Base Camp,195.31614131201525,587
Chukyima,Tashi Labtsa Camp,1958.2224351780708,817
Gaurishankar-01,Charikot-Singati-Lamabagar Road,692.8204959157147,1250
Charikot-Lamabagar Road,NH28,1103.5435985495742,696
Charikot-Lamabagar Road,Charikot-Singati-Lamabagar Road,342.0511353283282,213
Charikot-Lamabagar Road,Singati-Bulung Road,998.114075570486,466
NH28,Shree kaileshwori PRA V,242.90014972249057,69
NH28,Orang,4238.703553636245,151
NH28,Tamakoshi Hydroelectric,891.8234679930468,9
Shree kaileshwori PRA V,Shree Himalaya Ma V,719.682633890063,135
Shree Himalaya Ma V,Shree Chirkun Than Namuna PRA V,556.0616288469084,84
Singati - Laduk Road,Singati-Bulung Road,677.9434758663203,261
Singati-Bulung Road,Shree Jana Kalyan PRA V,1381.171105152709,2
Shree Jana Kalyan PRA V,Orang,2348.9966951370143,77
F202,21DR017,1561.762995650132,342
F202,Shivalaya-Bhandar,802.8156285424343,470
F202,Jiri-Shivalaya,949.0908448061102,203
21DR017,Shree Valepokhari Pra Vi,2895.3820796423915,96
Shree Valepokhari Pra Vi,Degunsha,2149.206598943131,214
Degunsha,खहरे,1968.3939252760724,137
खहरे,Jiri-01,2193.4829563036683,2314
Jiri-01,Tershe,929.8837176554109,299
Jiri-01,Soktuma,457.3637392101227,1011
Jiri-01,Gaurishankar-07,284.18930702167114,358
Tershe,Khola Kharka,1056.6495347296327,136
Khola Kharka,Ngeju Kharka,1044.4120013965326,717
Umakunda-01,Ngeju Kharka,1121.294877222894,1210
Umakunda-01,ल्हाछेवार,701.4528445908916,80
ल्हाछेवार,Himalaya Pra V,1645.5008252615996,327
Himalaya Pra V,Kyama,1150.3557981946915,638
Kyama,Gumdel,823.6732161156901,177
21DR018,Gumdel,555.0523776876256,605
21DR018,Pabitra Dristi Numbur Himalayan Pra V,545.3121845576175,127
21DR018,Jadibuti Ni Ma V,660.3745218391774,124
Jadibuti Ni Ma V,Shivalaya-Bhandar,657.0071089693063,340
23DR015,23DR013,921.9189439410559,832
23DR015,Kipche,677.1634847724405,483
23DR015,Jugal Pra V,948.4214189234747,448
23DR015,23DR018,767.3079245663483,181
23DR015,Gautam Pra V,596.79767782511,367
23DR015,Streusiedlung,391.161214147893,381
23DR015,23DR019,512.2720828334045,72
Kalinchok Footpath,Tripurasundari-01,715.0373212911311,164
Kalinchok Footpath,Barhabise-01,863.0218755350204,22
Bhotekoshi-05,Pokhare,1023.4696082305411,392
Bhotekoshi-05,NH34,790.4922319270449,606
NH34,Kothe Binjel Dhuskot sadak,851.8377939300672,1170
NH34,Araniko Rajmarg,800.8267978905827,1348
NH34,23DR027,1005.6624948128912,101
NH34,Tasithan,443.6218221637382,838
NH34,Bhotekoshi-03,462.86155025523254,1328
NH34,Namtan,243.9555818818366,742
Jiri Hospital,Jiri-Shivalaya,552.0206070289992,498
Jiri Hospital,Jiri-02,718.035622293227,1284
Jiri-02,chautara,693.724146958176,305
chautara,Gaurishankar-05,267.91102520592943,108
Gaurishankar-05,Soktuma,240.43566548108643,6
Gaurishankar-07,Yalung Ri Base Camp,420.1347761221606,641
F106,Tamakoshi Hydroelectric,413.3127123460689,2
F106,Buddhist stupa,618.266507609217,256
Buddhist stupa,Bigu-01,716.4330664499859,1845
Bigu-01,Shelters,490.1420989367413,494
Bigu-01,Lapchi,412.4721023224124,171
Lapchi,Nepal- China Boundary Pillar No. 58,676.7421708850098,148
Lapchi,Nepal- China Boundary Pillar No. 56,514.87366346615,156
Nepal- China Boundary Pillar No. 58,Nepal- China Boundary Pillar No. 59,777.7300457951319,60
Phakchue kharka,Kyansing,306.2689524812386,909
Kothe Binjel Dhuskot sadak,23DR013,572.5861005277276,284
23DR018,Kalidevi Ma Vi,810.4338951472714,343
Streusiedlung,Kyablunthang Ni Ma V,765.5855490306956,113
Kyablunthang Ni Ma V,Gamphāthāng,744.3621429015489,339
Gamphāthāng,Kyansing,462.0364212227253,535
Gamphāthāng,Jugal Hima Trek Route,513.4623565296861,20
23DR027,Gumtang-Bhairabkunda Road,989.5589466811009,261
23DR027,Bagaam,526.3734941235305,788
Gumtang-Bhairabkunda Road,Shree Kirateshwor Primary School,790.4850508703546,390
Shree Kirateshwor Primary School,Patichaur,635.9084314965876,245
Patichaur,23DR019,561.7814704102811,333
Bhairabkunda Road,Kyansing,620.3875454741761,1242
Bhairabkunda Road,Bhotekoshi-01,551.9191358644061,135
Bhairabkunda Road,Bagaam,382.6311920967462,1075
Bhairabkunda Road,Bhairab kunda,294.52801033453795,258
Bhairabkunda Road,Tasithan,746.0836434194445,924
Bhotekoshi-04,Namtan,516.9904671473117,11
